subid,cond,block,epi
212,2,1,/home/despo/despolarity/data/212/rest/afni_rest_2122/2122-EPI-001_proc.nii
212,2,2,/home/despo/despolarity/data/212/rest/afni_rest_2122/2122-EPI-002_proc.nii
212,3,1,/home/despo/despolarity/data/212/rest/afni_rest_2123/2123-EPI-001_proc.nii
212,3,2,/home/despo/despolarity/data/212/rest/afni_rest_2123/2123-EPI-002_proc.nii
213,1,1,/home/despo/despolarity/data/213/rest/afni_rest_2131/2131-EPI-001_proc.nii
213,1,2,/home/despo/despolarity/data/213/rest/afni_rest_2131/2131-EPI-002_proc.nii
213,2,1,/home/despo/despolarity/data/213/rest/afni_rest_2132/2132-EPI-001_proc.nii
213,2,2,/home/despo/despolarity/data/213/rest/afni_rest_2132/2132-EPI-002_proc.nii
214,1,1,/home/despo/despolarity/data/214/rest/afni_rest_2141/2141-EPI-001_proc.nii
214,1,2,/home/despo/despolarity/data/214/rest/afni_rest_2141/2141-EPI-002_proc.nii
214,2,1,/home/despo/despolarity/data/214/rest/afni_rest_2142/2142-EPI-001_proc.nii
214,2,2,/home/despo/despolarity/data/214/rest/afni_rest_2142/2142-EPI-002_proc.nii
214,3,1,/home/despo/despolarity/data/214/rest/afni_rest_2143/2143-EPI-001_proc.nii
214,3,2,/home/despo/despolarity/data/214/rest/afni_rest_2143/2143-EPI-002_proc.nii
215,1,1,/home/despo/despolarity/data/215/rest/afni_rest_2151/2151-EPI-001_proc.nii
215,1,2,/home/despo/despolarity/data/215/rest/afni_rest_2151/2151-EPI-002_proc.nii
215,2,1,/home/despo/despolarity/data/215/rest/afni_rest_2152/2152-EPI-001_proc.nii
215,2,2,/home/despo/despolarity/data/215/rest/afni_rest_2152/2152-EPI-002_proc.nii
215,3,1,/home/despo/despolarity/data/215/rest/afni_rest_2154/2154-EPI-001_proc.nii
215,3,2,/home/despo/despolarity/data/215/rest/afni_rest_2154/2154-EPI-002_proc.nii
216,1,1,/home/despo/despolarity/data/216/rest/afni_rest_2161/2161-EPI-001_proc.nii
216,1,2,/home/despo/despolarity/data/216/rest/afni_rest_2161/2161-EPI-002_proc.nii
216,2,1,/home/despo/despolarity/data/216/rest/afni_rest_2162/2162-EPI-001_proc.nii
216,2,2,/home/despo/despolarity/data/216/rest/afni_rest_2162/2162-EPI-002_proc.nii
217,1,1,/home/despo/despolarity/data/217/rest/afni_rest_2171/2171-EPI-001_proc.nii
217,1,2,/home/despo/despolarity/data/217/rest/afni_rest_2171/2171-EPI-002_proc.nii
217,2,1,/home/despo/despolarity/data/217/rest/afni_rest_2173/2173-EPI-001_proc.nii
217,2,2,/home/despo/despolarity/data/217/rest/afni_rest_2173/2173-EPI-002_proc.nii
217,3,1,/home/despo/despolarity/data/217/rest/afni_rest_2174/2174-EPI-001_proc.nii
217,3,2,/home/despo/despolarity/data/217/rest/afni_rest_2174/2174-EPI-002_proc.nii
218,1,1,/home/despo/despolarity/data/218/rest/afni_rest_2181/2181-EPI-001_proc.nii
218,1,2,/home/despo/despolarity/data/218/rest/afni_rest_2181/2181-EPI-002_proc.nii
218,2,1,/home/despo/despolarity/data/218/rest/afni_rest_2182/2182-EPI-001_proc.nii
218,2,2,/home/despo/despolarity/data/218/rest/afni_rest_2182/2182-EPI-002_proc.nii
218,3,1,/home/despo/despolarity/data/218/rest/afni_rest_2183/2183-EPI-001_proc.nii
218,3,2,/home/despo/despolarity/data/218/rest/afni_rest_2183/2183-EPI-002_proc.nii
219,1,1,/home/despo/despolarity/data/219/rest/afni_rest_2191/2191-EPI-001_proc.nii
219,1,2,/home/despo/despolarity/data/219/rest/afni_rest_2191/2191-EPI-002_proc.nii
219,2,1,/home/despo/despolarity/data/219/rest/afni_rest_2192/2192-EPI-001_proc.nii
219,2,2,/home/despo/despolarity/data/219/rest/afni_rest_2192/2192-EPI-002_proc.nii
219,3,1,/home/despo/despolarity/data/219/rest/afni_rest_2193/2193-EPI-001_proc.nii
219,3,2,/home/despo/despolarity/data/219/rest/afni_rest_2193/2193-EPI-002_proc.nii
220,1,1,/home/despo/despolarity/data/220/rest/afni_rest_2201/2201-EPI-001_proc.nii
220,1,2,/home/despo/despolarity/data/220/rest/afni_rest_2201/2201-EPI-002_proc.nii
220,2,1,/home/despo/despolarity/data/220/rest/afni_rest_2202/2202-EPI-001_proc.nii
220,2,2,/home/despo/despolarity/data/220/rest/afni_rest_2202/2202-EPI-002_proc.nii
220,3,1,/home/despo/despolarity/data/220/rest/afni_rest_2203/2203-EPI-001_proc.nii
220,3,2,/home/despo/despolarity/data/220/rest/afni_rest_2203/2203-EPI-002_proc.nii
221,1,1,/home/despo/despolarity/data/221/rest/afni_rest_2211/2211-EPI-001_proc.nii
221,1,2,/home/despo/despolarity/data/221/rest/afni_rest_2211/2211-EPI-002_proc.nii
221,2,1,/home/despo/despolarity/data/221/rest/afni_rest_2212/2212-EPI-001_proc.nii
221,2,2,/home/despo/despolarity/data/221/rest/afni_rest_2212/2212-EPI-002_proc.nii
221,3,1,/home/despo/despolarity/data/221/rest/afni_rest_2213/2213-EPI-001_proc.nii
221,3,2,/home/despo/despolarity/data/221/rest/afni_rest_2213/2213-EPI-002_proc.nii
222,1,1,/home/despo/despolarity/data/222/rest/afni_rest_2221/2221-EPI-001_proc.nii
222,1,2,/home/despo/despolarity/data/222/rest/afni_rest_2221/2221-EPI-002_proc.nii
222,2,1,/home/despo/despolarity/data/222/rest/afni_rest_2222/2222-EPI-001_proc.nii
222,2,2,/home/despo/despolarity/data/222/rest/afni_rest_2222/2222-EPI-002_proc.nii
222,3,1,/home/despo/despolarity/data/222/rest/afni_rest_2223/2223-EPI-001_proc.nii
222,3,2,/home/despo/despolarity/data/222/rest/afni_rest_2223/2223-EPI-002_proc.nii
223,1,1,/home/despo/despolarity/data/223/rest/afni_rest_2231/2231-EPI-001_proc.nii
223,1,2,/home/despo/despolarity/data/223/rest/afni_rest_2231/2231-EPI-002_proc.nii
223,2,1,/home/despo/despolarity/data/223/rest/afni_rest_2232/2232-EPI-001_proc.nii
223,2,2,/home/despo/despolarity/data/223/rest/afni_rest_2232/2232-EPI-002_proc.nii
223,3,1,/home/despo/despolarity/data/223/rest/afni_rest_2233/2233-EPI-001_proc.nii
223,3,2,/home/despo/despolarity/data/223/rest/afni_rest_2233/2233-EPI-002_proc.nii
